"序号(对应数据,只能新增，不可修改)5101-5199：答题排行榜",排行榜名称,排行榜界面分类(1汉献帝处普通排行2演武排行3百战排行4战阵排行),"固定说明文字(覆盖刷新时间的显示或特殊刷新时间,仅对不刷新的榜生效)",排行数量[默认50],最低入榜的积分,对应的活动id,开启日期,刷新间隔(天),奖励前几名,奖励邮件ID,冠军祝词,奖励图片,第一列名称(首列默认为：排行，从第二列算起）,第二列名称,第三列名称,第四列名称
id,strName,nUIType,strDesc,nToplistCapacity,nMinJoinScore,nActiveID,strStartTime,nUptPeriod,nRewardCount,arrRewardMails,strChampionTitle,strRewardImg,strCol1,strCol2,strCol3,strCol4
int,string,int,string,int,int,int,string,int,int,int[10],string,string,string,string,string,string
100,战力榜,1,实时更新,0,0,0,2014|7|7|0|21|0,0,10,0|0|0|0|0|0|0|0|0|0,恭喜{0}当选本届总战力排行榜第一！众人纷纷膜拜，惊呼“将军真乃神人也”,null,玩家信息,最大战力,所属公会,null
0,占领榜,1,null,0,0,0,2014|7|7|0|21|0,7,10,249|250|251|252|253|254|255|256|257|258,恭喜{0}当选本届占领排行榜第一！众人纷纷膜拜，惊呼“快放开我的封地吧”,null,玩家信息,占领次数,收获卡魂,奖励
1,消费榜,1,null,0,0,0,2014|7|7|0|21|0,14,10,259|260|261|262|263|264|265|266|267|268,恭喜{0}当选本届消费排行榜第一！众人纷纷膜拜，惊呼“快让我们做好朋友吧”,null,玩家信息,最大战力,所属公会,奖励
2,最强王者,1, ,0,0,0,,0,0,0|0|0|0|0|0|0|0|0|0, , ,玩家信息,竞技等级(积分),所属公会,上届排名
3,公会排行,1,实时更新,0,0,0,,0,0,0|0|0|0|0|0|0|0|0|0, , ,公会信息,公会成员,总战力,战绩
2000,演武每日榜,2, ,0,0,0,,0,0,0|0|0|0|0|0|0|0|0|0, , , , , , 
2001,演武总榜,2, ,0,0,0,,0,0,0|0|0|0|0|0|0|0|0|0, , , , , , 
2010,百战之路榜,3,每周日24点刷新,0,0,0,,0,0,0|0|0|0|0|0|0|0|0|0, , ,玩家信息,服务器,最好成绩, 
2011,战阵排行榜,4,随国战更新,0,88930,0,2018|3|16|0|9|0,14,0,0|0|0|0|0|0|0|0|0|0, , ,玩家信息,战纹数量,称号等级, 
2020,跨服王者榜,1,,0,0,0,,0,0,0|0|0|0|0|0|0|0|0|0,,,玩家信息,竞技等级(积分),服务器,上届排名
101,跨服战力榜,1,实时更新,0,0,0,2014|7|7|0|21|0,0,10,0|0|0|0|0|0|0|0|0|0,恭喜{0}当选本届总战力排行榜第一！众人纷纷膜拜，惊呼“将军真乃神人也”, ,玩家信息,最大战力,服务器, 
5001,讨伐榜,1,,0,0,0,,0,0,0|0|0|0|0|0|0|0|0|0,,,玩家信息,,最快通关时间,
3101,答题榜,1,,0,0,9995,2018|10|01|0|0|0,1,99999,0|0|0|0|0|0|0|0|0|0,,,玩家信息,最大战力,答题时长,正确答题
3102,答题榜,1,,0,0,9996,2018|10|01|0|0|0,1,99999,0|0|0|0|0|0|0|0|0|0,,,玩家信息,最大战力,答题时长,正确答题
